"Whova Agenda Track Excel Template (Three sheets, Agenda, Speaker, Personalized)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
2025-10-29 00:00:00,09:00:00,10:30:00,Technical Papers,Paper Session 5A: PHM and Reliability Analysis,Evergreen C,,,,,,,Session,
2025-10-29 00:00:00,09:00:00,09:30:00,Technical Papers,MAINTAG - Multi-Agent-based Predictive Maintenance Dataset Tagging System,Evergreen C,"<p><i>Abstract:</i> <p>With the ongoing digitization of global activities, the number of predictive maintenance datasets has been steadily growing. These datasets are often manually classified â€“<em> in literature review papers</em> â€“ to assess their relevance for predictive maintenance applications. However, this manual approach is increasingly unsustainable, as it is time-intensive, prone to errors, and the accelerating pace at which new datasets emerge in both scientific and industrial contexts. To overcome these challenges, there is a growing need for automated solutions to curate, analyze, and categorize (tag) datasets in the literature. To this end, we propose and evaluate <strong>MAINTAG</strong> (Multi-Agent-based Predictive Maintenance Dataset Tagging System), a novel multi-agent system designed to automate the classification of predictive maintenance datasets. MAINTAG is compatible with any criteria-based taxonomy and is assessed by benchmarking its tagging accuracy against recent state-of-the-art literature. This evaluation highlights MAINTAGâ€™s ability to replicate expert-level dataset tagging.</p>_x000D_
<p>MAINTAG resolves three critical challenges in predictive maintenance dataset tagging. The first one arises from the dramatic increase in the number of datasets. The recent growth in predictive maintenance applications has resulted in higher data volume. This makes manual tagging methods impractical and unscalable. Researchers, therefore, will struggle to manually process this flood of new data. The second challenge is related to the complexity of data classification. Each dataset consist of different data types, sources, and structures. These create additional classification difficulties. The third challenge is keeping data tagging consistent across different domains. Predictive maintenance datasets come from multiple industries, and each has its own set of standards and/or classification criteria. MAINTAG proposes a specialized multi-agent framework in response to these challenges. The framework divides the complex classification tasks into simpler and more manageable parts. The system uses specialized agents working in parallel to handle different classification tasks. These agents work together to analyze different aspects of the datasets. This system marks a major leap in autonomous data tagging. It also sets the foundation for a more scalable approach for handling surge in the predictive maintenance datasets.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4369/phmc_25_4369"">Full paper (PDF)</a></p>",Oguz Bektash,,,Oguz Bektash; Dorian JOUBAUD; Chetan. S. Kulkarni; Sylvain KUBLER,,Sub,
2025-10-29 00:00:00,09:30:00,10:00:00,Technical Papers,Achieving Three Nines for Product Health Data Monitoring Systems,Evergreen C,"<p><i>Abstract:</i> <p>Effective data and health management are critical throughout the lifecycle of engineered systems. When implemented correctly, product health management tools and processes can help lower total product ownership costs, improve safety, maximize availability and utilization rates, thereby delivering value to system operators and maintainers. Central to achieving this capability is robust data management that includes data acquisition, secure transmission, efficient storage and timely processing. These steps ensure that health insights can be delivered to stakeholders in support of diagnostics, prognostics, and informed decision-making.</p>_x000D_
<p>In sectors such as aerospace, defense and power utilities, the demand for high availability - targeting 99.9% uptime or â€œthree ninesâ€ â€“ places stringent requirements on product health monitoring systems. Hardware infrastructure, software, engineering processes and procedures are an integral part of achieving this target. This paper presents a focused exploration of the software, automation strategies, and best-in-class engineering processes that support high-reliability health data monitoring, with an emphasis on commercial aircraft engine applications. Drawing from Belcan Engineeringâ€™s experience, we highlight key software architectures, process improvements, and practices that enable scalable and maintainable solutions. Additionally, we discuss how early integration of health management capabilities into the development cycle enhances product value and reduces lifecycle costs. The insights presented are based on real-world implementations and are intended to guide practitioners seeking to build resilient, high-availability monitoring systems.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4357/phmc_25_4357"">Full paper (PDF)</a></p>",Raghothama M. Rao,,,Raghothama M. Rao; Travis Mann; William Edinger,,Sub,
2025-10-29 00:00:00,10:00:00,10:30:00,Technical Papers,"IntelliMaint: An Intelligent Component-Agnostic Framework for Health Indicator Generation, and Prognostics for  ElectroMechanical  Systems",Evergreen C,"<p><i>Abstract:</i> <p class=""p1"">Predictive maintenance of complex mechanical requires robust health monitoring capabilities that can generalize across diverse components and operating conditions. We present a novel component-agnostic framework that unifies Health Indicator (HI) generation and Remaining Useful Life (RUL) prediction through an integrated pipeline comprising: (1) advanced feature engineering, (2) unsupervised health baseline modelling, (3) monotonicity and trendability learning (4) probabilistic degradation detection with confidence-aware RUL estimation.</p>
<p class=""p2"">We validate our framework on two distinct Industrial Case Studies:Â Firstly, Tool wear monitoring in CNC machine using vibration and spindle current data collected from the real production machine. Our framework achieves early degradation detection of tool life<span class=""Apple-converted-space"">Â  </span>with RUL prediction within Â±15% of actual failure time. Flank wear (VB) was measured as a standard parameter for evaluating tool wear.Â  Secondly, bearing degradation assessment using the IMS bearing dataset.Â This validation demonstrates fault detection 40% earlier than traditional threshold methods with 90% confidence intervals.</p>
<p class=""p2"">Both case studies show strong HI monotonicity (&gt;85%) and reliable uncertainty quantification, establishing the foundation for scalable, explainable predictive maintenance solutions. The framework's component-agnostic design enables rapid deployment across heterogeneous assets without extensive reconfiguration, while its interpretable architecture facilitates root cause analysis and maintenance decision support. These results demonstrate significant advances in scalable, explainable predictive maintenance, offering practitioners a unified solution for diverse industrial health monitoring challenges.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4380/phmc_25_4380"">Full paper (PDF)</a></p>",Ramesh Krishnamurthy,,,Ramesh Krishnamurthy; Shweta S; Rachana Sreedhar; Archana Chandrashekar,,Sub,
2025-10-29 00:00:00,09:00:00,10:30:00,Technical Papers,Paper Session 5B: Knowledge Management and System Automation,Evergreen I,,,,,,,Session,
2025-10-29 00:00:00,09:00:00,09:30:00,Technical Papers,An Evaluation Framework for Fault Diagnosis Using Technical Manuals in Retrieval-Augmented Large Language Models,Evergreen I,"<p><i>Abstract:</i> <p>Fault diagnosis is a time-intensive maintenance task often reliant on the expertise of senior technicians. As this workforce ages and demand grows for digital tools, there is a growing need to capture and automate this knowledge while maintaining the precision required for technical applications. This study introduces an evaluation-driven framework for fault code recommendation, applied to a ground vehicle diagnosis system. Two tasks were designed to reflect potential system configurations: (1) a chat-style task simulating large language model (LLM) interaction, and (2) a label-constrained task using structured fault codes from technical manuals. Multiple retrieval-augmented generation (RAG) configurations were compared against LLM-only and retrieval-only baselines. Results showed that retrieval-based methods outperformed LLM-based ones for label-matching tasks, while the chat task showed challenges in linking observations to fault codes from the manual. These results highlight the importance of aligning task design with evaluation goals and considering retrieval-first approaches as viable alternatives to LLMs in technical language processing (TLP) applications. Beyond experimental findings, we outline industrial lessons learned: the importance of aligning system design to use case goals, adopting evaluation-first validation, and the need to pilot LLM-based systems under realistic conditions. These lessons provide practical guidance for developing effective diagnostic support systems in industrial contexts.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4549/phmc_25_4549"">Full paper (PDF)</a></p>",Sarah Lukens,,,Sarah Lukens; Matthew Bishof; Nadir Siddiqui; Destiny West,,Sub,
2025-10-29 00:00:00,09:30:00,10:00:00,Technical Papers,Semantic Framework for IT-OT Integration in Industrial Environments,Evergreen I,"<p><i>Abstract:</i> <p>This paper presents a semantic framework to bridge the gap between IT-OT integration in industrial environments. The proposed solution addresses fundamental challenges of PHM (prognostics and health management) by providing contextualized semantic information from the shop floor to enterprise IT systems. Built upon an OPCUA (Open Platform Communications Unified Architecture) aggregation server architecture, the framework leverages OPCUA Information Models and companion specifications as its foundation for semantic representation. By transforming these models into knowledge graphs stored in RDF format, the system enables sophisticated semantic information retrieval through SPARQL-based semantic queries that can traverse complex relationships between equipment, processes, and operational parameters. The framework further implements GraphQL to automatically generate a Type schema derived from OPCUA types, creating a unified query interface that facilitates IT-like interaction with industrial data. This semantic approach significantly improves fault diagnostics, predictive maintenance, and anomaly detection by preserving contextual relationships that are often lost in traditional data integration methods. Furthermore, the GraphQL schema provides a structured foundation for generative AI applications to formulate contextually appropriate queries, extract relevant maintenance insights, and generate human-interpretable explanations of equipment health patterns, all while maintaining semantic fidelity across the IT-OT boundary. The vertical integration capability ensures that domain-specific models remain coherent across organizational levels such as line, area, floor, etc., enabling PHM practitioners to implement more effective condition-based maintenance strategies with improved visibility into causal factors affecting equipment reliability and performance.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4551/phmc_25_4551"">Full paper (PDF)</a></p>",Anandrao Todkar,,,Anandrao Todkar; Mrinmoy Sarkar; Jitendra Solanki,,Sub,
2025-10-29 00:00:00,10:00:00,10:30:00,Technical Papers,"Event-Based Data in Prognostics and Health Management: A Systematic Review of Models, Challenges, and Applications",Evergreen I,"<p><i>Abstract:</i> <p>In the modern industrial context, Prognostics and Health Management (PHM) systems based on data-driven approaches have been widely and effectively developed to reduce maintenance costs. However, continuous data requires large memory capacity and high costs. Therefore, in recent years, the use of event-based data for PHM models has become prominent and increasingly attracts attention due to its cost-efficiency and effectiveness. This surge in data availability has opened new avenues for developing data-driven methods that leverage event patterns to enhance diagnostic, prognostic, and predictive maintenance capabilities. Building meaningful and interpretable patterns from raw event data is crucial for understanding system behavior, detecting faults early, forecasting future failures, and accurately estimating the Remaining Useful Life (RUL) of critical components. This review paper systematically surveys the state-of-the-art methodologies and frameworks for extracting, modeling, and utilizing event-based patterns in the context of diagnostic and prognostic applications.&nbsp; Furthermore, we analyze challenges related to event data heterogeneity, scalability, and interpretability, as well as the need for robust pattern extraction methods that can adapt to dynamic operating environments. The review further explores how these event-based patterns contribute to building reliable diagnostic models, enabling early fault detection, and supporting maintenance decision-making through precise prognostics.Finally, this paper identifies key research gaps and outlines future directions, emphasizing the need for explainable, adaptive, and scalable pattern mining approaches that effectively translate raw event data into actionable maintenance intelligence. To address these challenges, we propose a conceptual framework that integrates advanced pattern discovery techniques with domain knowledge and feedback loops, enabling continuous learning and decision support. This comprehensive survey aims to serve as a foundational reference for researchers and practitioners committed to leveraging event data for enhanced system reliability and the development of optimized, intelligent maintenance strategies.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4425/phmc_25_4425"">Full paper (PDF)</a></p>",Phuc Do,,,Thi-Tinh Le; Phuc Do; Benoit Iung; Marcos E. Orchard,,Sub,
2025-10-29 00:00:00,09:00:00,11:45:00,Workshops,MathWorks Hands-On Workshop: Anomaly Detection and Predictive Maintenance with MATLAB,Evergreen B,"<p>Be sure to register <a href=""https://www.mathworks.com/company/events/seminars/anomaly-detection-and-predictive-maintenance-with-matlab-phm-workshop-5034700.html"">here</a>! Space is limited for MathWorks’ Hands-On Workshops: <i>Anomaly Detection and Predictive Maintenance with MATLAB</i>.
<p><i>Please only register for one workshop slot. Both workshops have the same content.</i></p>
<p><b>Overview</b></p>
<p>Engineers are using AI to design smarter ways to detect anomalies, identify faults, and estimate the remaining useful life of machines. In this hands-on workshop, you will write and execute code examples in MATLAB® Online™ – entirely in your browser – to learn and explore how to design AI algorithms for anomaly detection and predictive maintenance. This workshop will be most useful for engineers who work with time series sensor data that want to explore ways to apply MATLAB to design effective algorithms.</p>
<p>MathWorks instructors will be available throughout the session to guide you. All necessary MATLAB licenses will be provided for the duration of the workshop, including Predictive Maintenance Toolbox. Please bring your laptop.</p>
<p><b>Highlights</b></p>
<ul>
<li>Familiarize yourself with MATLAB Online with an introductory example that trains a machine learning model to identify anomalies and faults.</li>
<li>Interactively extract, analyze, and rank features from machine sensor data, then train and compare multiple AI models based on these features.</li>
<li>Dive deep into two real-world examples that cover designing an anomaly detection algorithm and estimating remaining useful life.</li>
</ul>
<p><b>Who Should Attend</b></p>
<p>This workshop is open to anyone attending the PHM Society Conference in 2025 who is interested in learning how to design predictive maintenance and anomaly detection algorithms in MATLAB.</p>
<p><b>Product Focus</b></p>
<ul>
<li><a href=""https://www.mathworks.com/products/matlab.html"">MATLAB</a></li>
<li><a href=""https://www.mathworks.com/products/deep-learning.html"">Deep Learning Toolbox</a></li>
<li><a href=""https://www.mathworks.com/products/predictive-maintenance.html"">Predictive Maintenance Toolbox</a></li>
<li><a href=""https://www.mathworks.com/products/statistics.html"">Statistics and Machine Learning Toolbox</a></li>
</ul>
",Reece Teramoto; Rachel Johnson; Bora Eryilmaz,,,,,Session,
2025-10-29 00:00:00,10:30:00,10:45:00,General,Break,Evergreen Foyer,,,,,,,Session,
2025-10-29 00:00:00,10:45:00,12:15:00,Panels,Panel Session 6: People Panel,Evergreen A,"<p><b>Moderator: Jeff Bird <i>(TECnos)</i></b><br/>The PHM Society works to advance PHM as an engineering discipline including through its Educational and Professional Development Committee. A Society hallmark is the synergy among industry, academia and public sector PHMers. What is exciting and satisfying about this domain are its diverse career opportunities (see the society’s evolving taxonomy of skills- <a href=""https://papers.phmsociety.org/index.php/ijphm/article/view/2201"">Towards a Capabilities Taxonomy for Prognostics and Health Management | International Journal of Prognostics and Health Management (phmsociety.org)</a>. These panels at our last two conferences challenged some topics for discussion and identified opportunities for the Society AND you! We curating some prioritized discussion questions like:<br />
<ul><li>What are the key skills and competencies needed to excel in a PHM career?</li>
<li>What else would industry supervisors wish that new grads arrived with?</li>
<li>What are the opportunities and needs for industry to give back to academia?</li></ul></p>
<p>We will poll conference registrants prior to the event to prioritize the questions. The planned format for the 90 minute session will be short, provocative remarks from a few panelists and a facilitated discussion with the audience, culminating in a vote on priorities for society action through the Education and Professional Development Committee.</p>
<p>Panelists:
<ul><li>Harry Julijanto <i>(Rolls Royce)</i></li>
<li>Ed Baumann <i>(Trident Systems)</i></li>
<li>Huan Huang <i>(Emerson)</i></li></ul></p>",Harry Julijanto; Edward Baumann; Huan Huang,Jeff Bird,,,,Session,
2025-10-29 00:00:00,10:45:00,12:15:00,Tech Demos,"Tech Demo 6A: PHM Technology | ""A Causation-based AI approach to PHM with MADE and Syndrome Diagnostics""",Evergreen G,"<p>Discover how to engineer smarter, more reliable systems, from concept to operation, in this live technical demonstration.<u></u><u></u></p>
<p>We’ll showcase how <strong>MADE</strong> transforms traditional RAMS and diagnostics engineering into a connected, data-driven workflow that links <strong>design, maintenance, and real-time operation</strong>. Starting in the design phase, you’ll see how MADE identifies and quantifies technical risk using <strong>FMEAs</strong> and <strong>FTAs</strong>, and then applies <strong>Reliability-Centered Maintenance (RCM)</strong> to define the most effective maintenance strategies. From there, we’ll demonstrate how to <strong>design and optimize a sensor suite</strong>, ensuring complete failure coverage for condition monitoring, and automatically generate the <strong>diagnostic logic</strong> needed to detect and isolate faults.<u></u><u></u></p>
<p> Then, experience how <strong>Syndrome Diagnostics (SD)</strong> takes those models into operation. We’ll walk through <strong>Exploratory Data Analysis (EDA)</strong> to validate diagnostic accuracy and calibrate Failure Detection &amp; Isolation (FDI),  before showing SD in action, working with live operational data.<u></u><u></u></p>
<p>Finally, you’ll see how <strong>Condition-based AI (CbAI)</strong> enables <strong>real-time, predictive diagnostics</strong>, turning data into actionable insights that maximize <strong>system availability, reliability, and safety</strong>. <strong>Join us to see how the MADE ecosystem creates a seamless bridge between design and operation, and experience firsthand how Digital Risk Twin technology enables smarter decisions across the product lifecycle.</strong></p>",Peter Lucas; Chris Stecki,,,,,Session,
2025-10-29 00:00:00,10:45:00,12:15:00,Tech Demos,"Tech Demo 6B: Boeing | ""Leveraging Virtual Reality for Predictive Health Management""",Evergreen H,"<p>Boeing is preparing to leverage immersive virtual reality (VR) training to enhance mechanic proficiency in predictive health maintenance (PHM). VR simulations would recreate realistic aircraft systems and sensor behaviors, enabling technicians to practice diagnostic workflows and engage with scenario-based exercises using sample sensor records and simulated fault scenarios. This training is expected to accelerate skill acquisition, standardize troubleshooting techniques, and reduce time-to-fault identification. The approach is intended to improve maintenance decision quality, support safer condition-based interventions, and contribute to lower unscheduled removals and maintenance costs across the fleet.</p>
<p>Join us to review a high-level demonstration of a representative VR-enabled workflow that illustrates how immersive simulations can support technician skill development and PHM adoption.</p>
<p>&nbsp;</p>
<p><img style=""max-width: 100%; height: auto;"" src=""https://phm2025.phmsociety.org/wp-content/uploads/sites/15/2025/10/boeing-1024x684.png"" alt="""" /></p>",Leslie Forsberg; Chip Flory,,,,,Session,
2025-10-29 00:00:00,10:45:00,12:15:00,Technical Papers,Paper Session 6A: PHM for Rotating Machinery,Evergreen C,,,,,,,Session,
2025-10-29 00:00:00,10:45:00,11:15:00,Technical Papers,Impact of Environmental Temperature Variation on Vibration- Based Fault Detection for Air Compressors,Evergreen C,"<p><i>Abstract:</i> <p class=""p1"">Condition-Based Maintenance Plus (CBM+) aims to enhance operational readiness for U.S. Navy assets by using predictive models to forecast equipment failures. Applying CBM+ in the U.S. Navy faces a unique challenge: ships operate globally for extended periods, exposing machinery to a wide range of ambient air and seawater temperatures that alter their characteristic vibration signatures and can compromise model performance. This paper investigates the extent to which these seasonal temperature variations degrade the performance of a vibration-based fault detection model for a naval air compressor. Using data from controlled testing, vibration data was collected under healthy and various induced-fault conditions during both winter and summer to create two environmentally distinct datasets. Power Spectral Density analysis was used to extract features for training classifiers. Results show that models trained exclusively on data from one season performed poorly when tested against data from the other, confirming that environmental shifts significantly degrade predictive accuracy. In contrast, a model trained on a combined dataset incorporating data from both seasons demonstrated substantially improved and more generalized performance. These findings underscore that the development of robust, field-ready CBM+ systems is critically dependent on training ML models with comprehensive and environmentally diverse datasets that reflect the full spectrum of anticipated operational conditions.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4644/phmc_25_4644"">Full paper (PDF)</a></p>",Neil Eklund,,,Sherwood Polter; Colin Dingley; Neil Eklund; Adam Wechsler,,Sub,
2025-10-29 00:00:00,11:15:00,11:45:00,Technical Papers,Health Monitoring and Drift Detection of Bearing Using Direct Density Ratio Estimation,Evergreen C,"<p><i>Abstract:</i> <p>Prognostics and health management (PHM) has been widely employed for condition monitoring, fault diagnosis and failure prediction in mechanical systems. However, the presence of uncertainty and transient fluctuations in condition monitoring data makes the precise detection of degradation challenging. This paper presents a novel direct density ratio estimation (DDRE) method that computes the change score of the health indicator to detect degradation. The approach continuously computes the change score between two sliding windows using noise-assisted relative unconstrained least-squares importance fitting (NARuLSIF). This study does not rely solely on magnitude of the DDRE-based dissimilarity score; instead, it analyses the dynamic behaviors of the change score to categorize degradations into steady and progressive types. Additionally, this research identifies the onset of runaway failures, referred to as the initial degradation point (IDP), which is used as the starting point for remaining useful life (RUL) estimation. To validate the proposed approach, a publicly available rolling-element bearing dataset is utilized. Experimental results demonstrate the effectiveness and robustness of the proposed DDRE method for both degradation detection and selection of the IDP.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4360/phmc_25_4360"">Full paper (PDF)</a></p>",Sanjoy Saha,,,Sanjoy Saha; M.M. Manjurul Islam; Shaun McFadden; Mark Gorman; Saugat Bhattacharyya; Girijesh Prasad,,Sub,
2025-10-29 00:00:00,11:45:00,12:15:00,Technical Papers,Gear Teeth Parameter Identification in Helicopter Planetary Gearbox Using Tachometer and Vibration Signals,Evergreen C,"<p><i>Abstract:</i> <p class=""p1"">Accurate identification of gear tooth counts in planetary gearboxes is essential for condition-based maintenance and health monitoring in gearbox systems. However, direct inspection of internal gear componentsâ€”especially planet gearsâ€”is often infeasible due to the gearbox's enclosed structure and lack of documentation in aging or mixed fleets. This paper presents a methodology to estimate the number of gear teeth in bevel, sun, planet, and ring gears with fixed ring gear planetary gearboxes using vibration and tachometer signals. By applying Time Synchronous Averaging (TSA) and Fast Fourier Transform (FFT), we isolate gear mesh frequencies from noise and harmonics. Three case studiesâ€” UH60 Black Hawk, AS350, and Bell 407GXi main gearboxesâ€”demonstrate the application of the technique. For bevel gear estimation, TSA is performed using the input shaft rate, allowing dominant frequency peaks to reveal the gear mesh. In planetary gears, TSA is applied using the output shaft rate. Candidate mesh frequencies are identified, with harmonics and known gear interactions used to eliminate false positives. The most plausible planetary mesh frequency is used to estimate the ring gear tooth count, from which the sun gear tooth count is inferred using the total gear ratio.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4414/phmc_25_4414"">Full paper (PDF)</a></p>",Changik Cho,,,Changik Cho; Eric Bechhoefer,,Sub,
2025-10-29 00:00:00,10:45:00,12:15:00,Technical Papers,Paper Session 6B: Large Language Models (LLMs) in PHM,Evergreen I,,,,,,,Session,
2025-10-29 00:00:00,10:45:00,11:15:00,Technical Papers,Exploring LLM-based Agentic Frameworks for Fault Diagnosis,Evergreen I,"<p><i>Abstract:</i> <p>Large Language Model (LLM)-based agentic systems present new opportunities for autonomous health monitoring of industrial systems in sensor-rich environments. This study investigates the potential of LLM agents to diagnose faults directly from raw sensor data, while producing inherently explainable outputs through natural language reasoning. Such explainability enables users to interpret and audit agent decisions and confidence levels with greater transparency. We begin by systematically analyzing how different agent configurations, such as centralized versus distributed agent setups, the ability to use computational tools for fault discovery, and the structure and scope of sensor input data impact fault detection accuracy and uncertainty estimation. Building on these findings, we then explore whether LLM agents can improve diagnostic performance over time through continual learning, calibrating their confidence based on historical ground truth outcomes. Through simulation-based experiments across varied degradation scenarios, this work aims to assess the feasibility of LLM-based agents as a foundation for transparent, adaptive fault diagnosis in real-world systems.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4350/phmc_25_4350"">Full paper (PDF)</a></p>",Xian Yeow Lee,,,Xian Yeow Lee; Lasitha Vidyaratne; Ahmed Farahat; Chetan Gupta,,Sub,
2025-10-29 00:00:00,11:15:00,11:45:00,Technical Papers,LLMs as Pre-trained Models for Time-Series Applications in PHM,Evergreen I,"<p><i>Abstract:</i> <p>In industrial Prognostics and Health Management (PHM), the scarcity of sufficiently large, high-quality datasets remains a persistent challenge, which limits the practical deployment of machine learning-based approaches. Recent efforts to address this include few-shot learning, domain adaptation, and other data-efficient learning paradigms. However, while the use of pre-trained models has shown great promise in other fields such as natural language processing and computer vision, its application in PHM remains relatively underexplored. Although initial studies have begun to introduce foundation-style models for specific componentsâ€”such as recent efforts on bearing health diagnostics using transformer-based architecturesâ€”their development is still in an early stage compared to the maturity and versatility of large language models (LLMs) in the NLP domain. LLMs continue to advance rapidly, offering generalization capabilities that could be highly beneficial in data-constrained PHM settings. While some preliminary research has explored the use of LLMs as intelligent agents for decision support in PHM workflows, their application as direct learners for time-series sensor data remains rare. In this work, we propose a novel framework that adapts pre-trained LLMs for time-series-based PHM tasks. Our approach involves mapping temporal sensor signals to a tokenized format compatible with transformer-based language models, enabling the application of LLMs as generic sequence learners. Building on recent pioneering concepts such as multimodal LLM-based health management systems and prompt-driven signal encoding, our framework is benchmarked on publicly available industrial datasets under low-data conditions. The results demonstrate that our LLM-based approach not only maintains robust performance in scenarios with limited labeled data but also outperforms traditional models in fault classification accuracy. This study contributes a new perspective to the PHM community by highlighting the untapped potential of LLMs as general-purpose, pre-trained models in industrial health monitoring applications. Our findings suggest that incorporating LLMs into PHM workflows can be a powerful and forward-looking strategy to overcome data scarcity and improve adaptability across diverse operational domains.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4376/phmc_25_4376"">Full paper (PDF)</a></p>",Takanobu Minami,,,Takanobu Minami; Dai-Yan Ji; Lee Jay,,Sub,
2025-10-29 00:00:00,11:45:00,12:15:00,Technical Papers,Evaluating Large Language Models for Turboshaft Engine Torque Prediction,Evergreen I,"<p><i>Abstract:</i> <p>Recent advancements in deep learning have introduced new opportunities for quality management in manufacturing, particularly through transformer-based architectures capable of learning from limited datasets and handling complex, multimodal inputs. Among these, Large Language Models (LLMs) have emerged as a significant innovation, demonstrating strong capabilities in forecasting and representing the cutting edge of artificial intelligence (AI). Through transfer learning, LLMs effectively process and generate extended text sequences, and recent developments show their potential for multimodal integration, including text, images, audio, and video data.</p>_x000D_
<p>Quality management is a critical area for industrial innovation, rapidly evolving as manufacturers seek to close the quality-manufacturing loop and achieve zero-defect production goals. While computer vision techniques based on deep learning have been widely implemented for visual inspection tasks, integrating multiple heterogeneous data sources offers the possibility for even greater improvements. Despite the success of LLMs in language tasks, their application to time series data remains relatively unexplored. Alternative statistical approaches and deep learning models have proven effective for time series forecasting. Nevertheless, LLMs could provide additional advantages in industrial contexts, offering opportunities to enhance in-line quality control, defect prevention, and predictive discarding strategies across various sectors.</p>_x000D_
<p>This paper investigates the potential of applying LLMs to time series analysis by comparing the performance of an LLM (GPT-2), originally trained on textual data, with a model specifically designed for time series data (TimeGPT), and a more conventional transformer-based architecture. Our study includes a dedicated time series GPT model and a general-purpose LLM in a comparative evaluation. Through this analysis, we aim to better understand how language models can be effectively adapted to time series forecasting tasks and explore their transfer learning potential for enhancing quality management in manufacturing.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4407/phmc_25_4407"">Full paper (PDF)</a></p>",David He,,,Alessandro Tronconi; David He; Eric Bechhoefer,,Sub,
2025-10-29 00:00:00,12:15:00,13:45:00,General,Lunch on your own,,<i>Enjoy the Bellevue scene!</i>,,,,,,Session,
2025-10-29 00:00:00,12:15:00,17:00:00,Invitation Only,PHMSociety Board of Directors Meeting (Invitation Only),Evergreen B,,,,,,,Session,
2025-10-29 00:00:00,13:45:00,15:15:00,Tech Demos,"Tech Demo 7A: MathWorks | ""Time Series Anomaly Detection with MATLAB""",Evergreen G,"<p>This interactive demo will introduce you to a variety of statistical and AI-based techniques for analyzing time series data and designing anomaly detection algorithms using MATLAB and Predictive Maintenance Toolbox. Highlights include: 
<ul>
<li>Organizing, analyzing, and preprocessing time series sensor data</li>
<li>Distance-based approaches for exploring anomalies in historical data</li>
<li>One-class machine learning and deep learning approaches for algorithm development</li>
<li>Comparing and testing algorithm performance</li>
<li>Deploying anomaly detection algorithms in a streaming environment</li>
</ul>
<p><img style=""max-width: 100%; height: auto;"" src=""https://phm2025.phmsociety.org/wp-content/uploads/sites/15/2025/10/MathWorks-Tech-Demo-Image-1024x686.jpg"" alt=""""  /></p>",Reece Teramoto; Rachel Johnson; Bora Eryilmaz,,,,,Session,
